PERIOD,AUDITTYPE,STORECODE,DLRCODE,ITEMCODE,CATEGORY,MANUFACTURE,BRAND,ITEMDESC,MRP,PACKSIZE,PACKTYPE,COMMENTS,IMAGE
202307,2,130379882,21202020033,1688717919664,134,"RAJAN PANI UDYOG NEPAL ",PARSA,"PARSA\1000ML\PBT\MINERAL WATER ",25,1000ML,PBT,,
202307,2,128585618,22202020020,1689940933308,134,"EVEREST MINERAL WATER INDUSTRIES PVT.LTD NEPAL ","EVEREST ","EVEREST\1000ML\PBT\MINERAL WATER ",25,1000ML,PBT,Sales Deviation is OK,1689940933308-everest mineral water industries pvt-ltd nepal -everest #3.png
202307,2,126633897,22202020032,1690006534681,134,DABUR NEPAL LTD.-NEPAL,REAL FRUIT POWER,REAL FRUIT POWER\150ML\PBT\APPLE  FIZZIN,30,150ML,PBT,,1690006534681-dabur nepal ltd--nepal-real fruit power#3.png
202307,2,126770926,22202020028,1689909436583,134,LIFE FOOD & BEVERAGE-NEPAL,FIZZY LIFE,"FIZZY LIFE\250ML\PBT\LITCHI FLAVOUR ",50,250ML,PBT,,1689909436583-life food - beverage-nepal-fizzy life#3.png
202307,2,134233475,31306020007,1689589498639,134,LIFE FOOD & BEVERAGE-NEPAL,FIZZY LIFE LITCHI,FIZZY LIFE LITCHI FLAVOURED/PBT/250ML/50/LIFE FOOD & BEVERAGE-NEPAL,50,250ML,PBT,,1689589498639-life food - beverage-nepal-fizzy life litchi#3.png
202307,2,112284433,21102020057,1689317797145,118,BOTTLERS NEPAL - NEPAL,COCA-COLA,COCA COLA/RS30 OFF/2250ML/PBT/RS 230,230,2250ML,PBT,,1689317797145-bottlers nepal - nepal-coca-cola#3.png
202307,2,111949706,21102020058,1689146499518,118,SABARAT AGRO PVT.LTD NEPAL,PALOMA,PALOMA-PEACH MANGO FUSION/PBT/300ML,60,300ML,PBT,,1689146499518-sabarat agro pvt-ltd nepal-paloma#3.png
202307,2,111949706,21102020058,1689146671651,118,SABARAT AGRO PVT.LTD NEPAL,SABARU,SABARU-PEACH ICED TEA/PBT/300 ML,80,300ML,PBT,,1689146671651-sabarat agro pvt-ltd nepal-sabaru#3.png
202307,2,111949706,21102020058,1689146194676,118,LIFE FOOD & BEVERAGE-NEPAL,FIZZY LIFE,FIZZY LIFE-NIMBOO-PBT-250ML,50,250ML,PBT,,1689146194676-life food - beverage-nepal-fizzy life#3.png
202307,2,129024634,22101020014,1688987959682,134,VARUN BEVERAGE -INDIA,"SLICE ","SLICE\200ML\PBT\MANGO FLAVOUR ",32,200ML,PBT,,1688987959682-varun beverage -india-slice #3.png
202307,2,126758637,32201020029,1688901555760,118,SOUTH ASIAN BEVERAGES P. LTD-NEPAL,FIZZ,FIZZ MALT/PBT/160ML/30/SOUTH ASIAN BEVERAGES P. LTD-NEPAL,30,160ML,PBT,,1688901555760-south asian beverages p- ltd-nepal-fizz#3.png
202307,2,128771880,22101020005,1688717919664,134,"RAJAN PANI UDYOG NEPAL ",PARSA,"PARSA\1000ML\PBT\MINERAL WATER ",20,1000ML,PBT,Sales Deviation is OK,1688717919664-rajan pani udyog nepal -parsa#3.png
