PERIOD,AUDITTYPE,STORECODE,DLRCODE,ITEMCODE,CATEGORY,MANUFACTURE,BRAND,ITEMDESC,MRP,PACKSIZE,PACKTYPE,COMMENTS,IMAGE
202412,3,1023175036910,21104030050,1732537658621,105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,SURYA FUSION,320,20K'S,FLT,New SKU,
202412,3,1024112229467,21104030054,1732537658621,105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,SURYA FUSION,320,20K'S,FLT,New SKU,
202412,3,1024113043159,21104030018,1732537658621,105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,SURYA FUSION,320,20K'S,FLT,New SKU,
202412,3,1023071618294,21104030027,1732537658621,105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,SURYA FUSION,320,20K'S,FLT,New SKU,
202412,3,1023102220974,21104030044,1732537658621,105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,SURYA FUSION,320,20K'S,FLT,New SKU,
202412,3,1023120416981,21104030017,1732537658621,105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,SURYA FUSION,320,20K'S,FLT,New SKU,
202412,3,1023173737366,21104030039,1732537658621,105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,SURYA FUSION,320,20K'S,FLT,New SKU,
202412,3,1023195011424,21104030071,1732537658621,105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,SURYA FUSION,320,20K'S,FLT,New SKU,
202412,3,1021112743621,21104030034,1732537658621,105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,SURYA FUSION,320,20K'S,FLT,New SKU,
202412,3,2110114814,21101031833,1732693369550,105,"SURYA NEPAL PVT. LTD. ",SURYA FUSION,SURYA FUSION-SURYA NEPAL-20-STICK-HL,320,20,HL,,
202411,2,116304492,11301020014,1732595404577,134,RAYBOT SPRING'S MINERAL WATER-NEPAL,RAYBOT REFRESH,RAYBOT REFRESH MANGO PET 500ML,90,500ML,PET,,1732595404577-raybot spring-s mineral water-nepal-raybot refresh#3.png
202412,3,2110202078,21102030253,1731308020769,105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,SURYA FUSION,320,HL 20 NOS,CBP,,
202411,3,1027121252321,21103030085,1731308020769,105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,SURYA FUSION,320,HL 20 NOS,CBP,New SKU,
202412,3,2110201078,21102030239,1731308020769,105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,SURYA FUSION,320,HL 20 NOS,CBP,,
202412,3,2110203265,21102030257,1731308020769,105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,SURYA FUSION,320,HL 20 NOS,CBP,,
202412,3,2110203301,21102030226,1731308020769,105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,SURYA FUSION,320,HL 20 NOS,CBP,,
202411,3,1027115800637,21103030087,1731308020769,105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,SURYA FUSION,320,HL 20 NOS,CBP,New SKU,
202412,3,2110201364,21102030131,1731308020769,105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,SURYA FUSION,320,HL 20 NOS,CBP,,
202412,3,2110203312,21102030290,1731308020769,105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,SURYA FUSION,320,HL 20 NOS,CBP,,
202412,3,1027134813436,22502030011,1731222877542,105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,SURYA FUSION/HL/20NOS/MRP320,320,20 NOS,KS,,
202412,3,1027151822849,22502030010,1731222877542,105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,SURYA FUSION/HL/20NOS/MRP320,320,20 NOS,KS,,
202412,3,1022140741083,22502030047,1731222877542,105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,SURYA FUSION/HL/20NOS/MRP320,320,20 NOS,KS,,
202412,3,1022140741083,22502030047,1733036835774,105,GORKHA LAHARI PVT.LTD.- NEPAL,CAPTAIN GOLD,CAPTAIN GOLD/HL/20NOS/KFS/RS161.5,161.5,20NOS,KFS,,1733036835774-gorkha lahari pvt-ltd-- nepal-captain gold#3.png
202412,3,2110201173,21102030119,1731308020769,105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,SURYA FUSION,320,HL 20 NOS,CBP,Any other reason,
202411,3,2110203243,21102030264,1731308020769,105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,SURYA FUSION,320,HL 20 NOS,CBP,,
202411,3,1030140516341,22603030011,1732259484751,124,DEUTI GUTKHA INDUSTRIES,MEGHA SHREE PREMIUM,PREMIUM MEGHA SHREE/DEUTI GUTKHA INDUSTRIES/PPH/2GM,5,2GM,PPH,,
202411,3,1029072847531,22603030015,1732259484751,124,DEUTI GUTKHA INDUSTRIES,MEGHA SHREE PREMIUM,PREMIUM MEGHA SHREE/DEUTI GUTKHA INDUSTRIES/PPH/2GM,5,2GM,PPH,,
202411,3,1101162557168,21103030045,1731308020769,105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,SURYA FUSION,320,HL 20 NOS,CBP,,
202411,3,1025151656416,22711030055,1732862007821,105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,SURYA FUSION,320,20,HL,New SKU,
202411,3,1025154045540,22711030043,1732862007821,105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,SURYA FUSION,320,20,HL,New SKU,
202411,3,1026150952023,22711030057,1732862007821,105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,SURYA FUSION,320,20,HL,New SKU,
202411,3,1025155100093,22711030054,1732862007821,105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,SURYA FUSION,320,20,HL,New SKU,
202411,3,1025155528865,22711030056,1732862007821,105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,SURYA FUSION,320,20,HL,New SKU,
202411,3,1027132233767,22711030050,1732862007821,105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,SURYA FUSION,320,20,HL,New SKU,
202411,3,1023140421012,22711030012,1732862007821,105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,SURYA FUSION,320,20,HL,New SKU,
202411,3,1025163212595,22711030053,1732862007821,105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,SURYA FUSION,320,20,HL,New SKU,1732862007821-surya nepal pvt ltd - nepal-surya fusion#3.png
202411,3,1024152716948,22711030048,1732862007821,105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,SURYA FUSION,320,20,HL,New SKU,
202411,3,1022174634184,21104030063,1732537658621,105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,SURYA FUSION,320,20K'S,FLT,New SKU,
202411,3,1022163031508,21104030068,1732537658621,105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,SURYA FUSION,320,20K'S,FLT,New SKU,
202411,3,1022143034199,21104030030,1732885438981,105,SURYA NEPAL PVT LTD - NEPAL,CAPTAIN FILTER KINGS,CAPTAIN FILTER KINGS GOLD,161.5,20K''S,FLT,New SKU,1732885438981-surya nepal pvt ltd - nepal-captain filter kings#3.png
202411,3,1022143034199,21104030030,1732537658621,105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,SURYA FUSION,320,20K'S,FLT,Invoices not available,
202411,3,1110112116576,22603030029,1732259484751,124,DEUTI GUTKHA INDUSTRIES,MEGHA SHREE PREMIUM,PREMIUM MEGHA SHREE/DEUTI GUTKHA INDUSTRIES/PPH/2GM,5,2GM,PPH,,
202411,3,1029142435044,22603030035,1732259484751,124,DEUTI GUTKHA INDUSTRIES,MEGHA SHREE PREMIUM,PREMIUM MEGHA SHREE/DEUTI GUTKHA INDUSTRIES/PPH/2GM,5,2GM,PPH,,
202411,3,1111093738592,22603030027,1732259484751,124,DEUTI GUTKHA INDUSTRIES,MEGHA SHREE PREMIUM,PREMIUM MEGHA SHREE/DEUTI GUTKHA INDUSTRIES/PPH/2GM,5,2GM,PPH,,
202411,3,1029150412276,22603030036,1732259484751,124,DEUTI GUTKHA INDUSTRIES,MEGHA SHREE PREMIUM,PREMIUM MEGHA SHREE/DEUTI GUTKHA INDUSTRIES/PPH/2GM,5,2GM,PPH,,
202411,2,128757050,12201020010,1731486940758,134,CHAUDHARY GROUP - NEPAL,RIO,RIO-APPLE-APPLE TPK 180ML,30,180ML,TPK,,1731486940758-chaudhary group - nepal-rio#3.png
202411,2,128993711,12201020018,1731486940758,134,CHAUDHARY GROUP - NEPAL,RIO,RIO-APPLE-APPLE TPK 180ML,30,180ML,TPK,,
202411,3,1023122004019,21104030076,1732537658621,105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,SURYA FUSION,320,20K'S,FLT,New SKU,
202411,3,1023114501866,21104030079,1732537658621,105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,SURYA FUSION,320,20K'S,FLT,New SKU,
202411,3,1024141607726,22711030028,1732530969912,105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,SURYA FUSION,320,75-85MM,20,New SKU,
202411,3,1024130437625,22711030033,1732530969912,105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,SURYA FUSION,320,75-85MM,20,New SKU,
